| Line | Method | Route | Function | Protection |
| --- | --- | --- | --- | --- |
| 381 | GET | / | home | None |
| 387 | POST | /api/v1/auth/login | login_route | None |
| 521 | POST | /api/v1/auth/refresh | refresh_token_route | None |
| 623 | POST | /api/v1/auth/register | register_route | None |
| 763 | GET | /api/v1/institutions | get_institutions_list | None |
| 798 | GET | /api/v1/security/events | get_security_events | require_role(["admin"] |
| 825 | DELETE | /api/v1/security/events | clear_security_events | require_role(["admin"] |
| 840 | GET | /model-status | model_status | None |
| 844 | GET | /predict-test | predict_test | None |
| 848 | POST | /predict/student-performance | predict_student_performance | None |
| 864 | GET | /faculty/{faculty_id}/classes | get_faculty_classes | get_current_user |
| 892 | GET | /class/{class_id}/students | get_class_students | get_current_user |
| 941 | GET | /class/{class_id}/student-metrics | get_class_student_metrics | get_current_user |
| 998 | GET | /class/{class_id}/dashboard-summary | get_dashboard_summary | get_current_user |
| 1050 | GET | /class/{class_id}/attendance | get_class_attendance | get_current_user |
| 1106 | GET | /class/{class_id}/attendance-summary | get_attendance_summary | get_current_user |
| 1146 | GET | /student/{student_id}/attendance-history | get_student_attendance_history | get_current_user |
| 1166 | POST | /attendance/mark | mark_attendance | get_current_user |
| 1224 | GET | /class/{class_id}/attendance-registry | get_attendance_registry | get_current_user |
| 1273 | GET | /class/{class_id}/today-attendance | get_today_attendance | get_current_user |
| 1307 | GET | /api/students | get_students | require_role(["admin", "faculty"] |
| 1330 | GET | /api/students/{student_id} | get_student_profile | get_current_user |
| 1331 | GET | /students/{student_id} | get_student_profile | get_current_user |
| 1378 | POST | /api/students | create_student | require_role(["admin"] |
| 1399 | PUT | /api/students/{student_id} | update_student | require_role(["admin"] |
| 1400 | PUT | /students/{student_id} | update_student | require_role(["admin"] |
| 1423 | DELETE | /api/students/{student_id} | delete_student | require_role(["admin"] |
| 1424 | DELETE | /students/{student_id} | delete_student | require_role(["admin"] |
| 1443 | GET | /api/faculty | get_faculty | require_role(["admin", "faculty"] |
| 1465 | GET | /api/faculty/{faculty_id} | get_faculty_profile | get_current_user |
| 1466 | GET | /faculty/{faculty_id} | get_faculty_profile | get_current_user |
| 1531 | POST | /api/faculty | create_faculty | require_role(["admin"] |
| 1552 | PUT | /api/faculty/{faculty_id} | update_faculty | require_role(["admin"] |
| 1553 | PUT | /faculty/{faculty_id} | update_faculty | require_role(["admin"] |
| 1584 | DELETE | /api/faculty/{faculty_id} | delete_faculty | require_role(["admin"] |
| 1585 | DELETE | /faculty/{faculty_id} | delete_faculty | require_role(["admin"] |
| 1610 | GET | /api/faculty-mapping | get_mappings | require_role(["admin", "super_admin", "faculty"] |
| 1673 | POST | /api/faculty-mapping | create_mapping | require_role(["admin", "super_admin"] |
| 1726 | PUT | /api/faculty-mapping/{mapping_id} | update_mapping | require_role(["admin", "super_admin"] |
| 1727 | PUT | /faculty-mapping/{mapping_id} | update_mapping | require_role(["admin", "super_admin"] |
| 1791 | DELETE | /api/faculty-mapping/{mapping_id} | delete_mapping | require_role(["admin", "super_admin"] |
| 1792 | DELETE | /faculty-mapping/{mapping_id} | delete_mapping | require_role(["admin", "super_admin"] |
| 1825 | GET | /api/courses | get_courses | get_current_user |
| 1848 | POST | /api/courses | create_course | require_role(["admin"] |
| 1869 | PUT | /api/courses/{course_id} | update_course | require_role(["admin"] |
| 1870 | PUT | /courses/{course_id} | update_course | require_role(["admin"] |
| 1901 | DELETE | /api/courses/{course_id} | delete_course | require_role(["admin"] |
| 1902 | DELETE | /courses/{course_id} | delete_course | require_role(["admin"] |
| 1929 | GET | /api/subjects | get_subjects | get_current_user |
| 1951 | POST | /api/subjects | create_subject | require_role(["admin"] |
| 1972 | PUT | /api/subjects/{subject_id} | update_subject | require_role(["admin"] |
| 1973 | PUT | /subjects/{subject_id} | update_subject | require_role(["admin"] |
| 2004 | DELETE | /api/subjects/{subject_id} | delete_subject | require_role(["admin"] |
| 2005 | DELETE | /subjects/{subject_id} | delete_subject | require_role(["admin"] |
| 2033 | GET | /api/classes | get_classes | get_current_user |
| 2055 | POST | /api/classes | create_class | require_role(["admin"] |
| 2076 | PUT | /api/classes/{class_id} | update_class | require_role(["admin"] |
| 2077 | PUT | /classes/{class_id} | update_class | require_role(["admin"] |
| 2108 | DELETE | /api/classes/{class_id} | delete_class | require_role(["admin"] |
| 2109 | DELETE | /classes/{class_id} | delete_class | require_role(["admin"] |
| 2137 | GET | /api/departments | get_departments | get_current_user |
| 2156 | POST | /api/departments | create_department | require_role(["admin"] |
| 2177 | PUT | /api/departments/{dept_id} | update_department | require_role(["admin"] |
